University,Country,URL
Atish Dipankar University of Science and Technology,Bangladesh,"=HYPERLINK(""http://www.adust.edu.bd/"", ""http://www.adust.edu.bd/"")"
Atomi College,Japan,"=HYPERLINK(""http://www.atomi.ac.jp/"", ""http://www.atomi.ac.jp/"")"
Atyrau State University,Kazakhstan,"=HYPERLINK(""http://www.atgu.kz/"", ""http://www.atgu.kz/"")"
Auchi Polytechnic,Nigeria,"=HYPERLINK(""http://www.auchipoly.edu.ng/"", ""http://www.auchipoly.edu.ng/"")"
Auckland University of Technology,New Zealand,"=HYPERLINK(""http://www.aut.ac.nz/"", ""http://www.aut.ac.nz/"")"
Augustana Hochschule,Germany,"=HYPERLINK(""https://augustana.de"", ""https://augustana.de"")"
Augustana University College,Canada,"=HYPERLINK(""https://www.ualberta.ca/augustana/"", ""https://www.ualberta.ca/augustana/"")"
Australian Catholic University,Australia,"=HYPERLINK(""http://www.acu.edu.au/"", ""http://www.acu.edu.au/"")"
Australian Correspondence Schools,Australia,"=HYPERLINK(""https://www.acs.edu.au/"", ""https://www.acs.edu.au/"")"
Australian Lutheran College,Australia,"=HYPERLINK(""http://www.alc.edu.au/"", ""http://www.alc.edu.au/"")"
Australian Maritime College,Australia,"=HYPERLINK(""http://www.amc.edu.au/"", ""http://www.amc.edu.au/"")"
Australian National University,Australia,"=HYPERLINK(""http://www.anu.edu.au/"", ""http://www.anu.edu.au/"")"
Australlian College of Kuwait,Kuwait,"=HYPERLINK(""http://www.ackonline.com/"", ""http://www.ackonline.com/"")"
Avans Hogeschool,Netherlands,"=HYPERLINK(""http://www.avans.nl/"", ""http://www.avans.nl/"")"
Aventis School of Management,Singapore,"=HYPERLINK(""http://asm.edu.sg/"", ""http://asm.edu.sg/"")"
Avicenna International College,Hungary,"=HYPERLINK(""http://www.avicenna.hu/"", ""http://www.avicenna.hu/"")"
Avicenna University,Afghanistan,"=HYPERLINK(""https://avicenna.edu.af"", ""https://avicenna.edu.af"")"
Avinashilingam University for Women,India,"=HYPERLINK(""http://avinuty.ac.in/"", ""http://avinuty.ac.in/"")"
Avondale College,Australia,"=HYPERLINK(""http://www.avondale.edu.au/"", ""http://www.avondale.edu.au/"")"
Awadhesh Pratap Singh University,India,"=HYPERLINK(""http://apsurewa.ac.in/"", ""http://apsurewa.ac.in/"")"
Azabu University,Japan,"=HYPERLINK(""http://www.azabu-u.ac.jp/"", ""http://www.azabu-u.ac.jp/"")"
Azad Jammu and Kashmir University,Pakistan,"=HYPERLINK(""http://www.ajku.edu.pk/"", ""http://www.ajku.edu.pk/"")"
Azarbaijan Shahid Madani University,Iran,"=HYPERLINK(""http://www.azaruniv.ac.ir/"", ""http://www.azaruniv.ac.ir/"")"
Azerbaijan Diplomatic Academy,Azerbaijan,"=HYPERLINK(""http://www.ada.edu.az/"", ""http://www.ada.edu.az/"")"
Azerbaijan International University,Azerbaijan,"=HYPERLINK(""http://www.abu.az/"", ""http://www.abu.az/"")"
Azerbaijan Medical University,Azerbaijan,"=HYPERLINK(""http://www.amu.edu.az/"", ""http://www.amu.edu.az/"")"
Azerbaijan National Conservatorie,Azerbaijan,"=HYPERLINK(""http://www.conservatory.az/"", ""http://www.conservatory.az/"")"
Azerbaijan State Economic University,Azerbaijan,"=HYPERLINK(""http://www.aseu.az/"", ""http://www.aseu.az/"")"
Azerbaijan State Oil Academy,Azerbaijan,"=HYPERLINK(""http://adna.jis.az/"", ""http://adna.jis.az/"")"
Azerbaijan Technical University,Azerbaijan,"=HYPERLINK(""http://www.aztu.az/"", ""http://www.aztu.az/"")"
Azerbaijan Technology University,Azerbaijan,"=HYPERLINK(""http://www.aztu.edu.az/"", ""http://www.aztu.edu.az/"")"
Azerbaijan Toursim Institute,Azerbaijan,"=HYPERLINK(""http://www.tourism.edu.az/"", ""http://www.tourism.edu.az/"")"
Azerbaijan University,Azerbaijan,"=HYPERLINK(""http://www.au.edu.az/"", ""http://www.au.edu.az/"")"
Azerbaijan University ol Languages,Azerbaijan,"=HYPERLINK(""http://www.adu.edu.az/"", ""http://www.adu.edu.az/"")"
Azim Premji University,India,"=HYPERLINK(""https://azimpremjiuniversity.edu.in/"", ""https://azimpremjiuniversity.edu.in/"")"
Azteca University,Mexico,"=HYPERLINK(""https://univ-azteca.edu.mx/"", ""https://univ-azteca.edu.mx/"")"
Azzahra University,Iran,"=HYPERLINK(""http://www.azzahra.ac.ir/"", ""http://www.azzahra.ac.ir/"")"
Babasaheb Bhimrao Ambedkar University,India,"=HYPERLINK(""http://www.bbau.ac.in/"", ""http://www.bbau.ac.in/"")"
Babcock University,Nigeria,"=HYPERLINK(""http://www.babcock.edu.ng/"", ""http://www.babcock.edu.ng/"")"
Babes-Bolyai University of Cluj-Napoca,Romania,"=HYPERLINK(""http://www.ubbcluj.ro/"", ""http://www.ubbcluj.ro/"")"
Babol Noshirvani University of Technology,Iran,"=HYPERLINK(""http://www.nit.ac.ir/"", ""http://www.nit.ac.ir/"")"
Babol University of Medical Sciences,Iran,"=HYPERLINK(""http://www.mubabol.ac.ir/"", ""http://www.mubabol.ac.ir/"")"
Badakhshan University,Afghanistan,"=HYPERLINK(""https://www.badakhshan.edu.af"", ""https://www.badakhshan.edu.af"")"
Baghdad College of Economic Sciences University,Iraq,"=HYPERLINK(""http://www.baghdadcollege.edu.iq/"", ""http://www.baghdadcollege.edu.iq/"")"
Baghdad College of Pharmacy,Iraq,"=HYPERLINK(""http://www.bpc.edu.iq/"", ""http://www.bpc.edu.iq/"")"
Baghlan University,Afghanistan,"=HYPERLINK(""https://www.baghlan.edu.af"", ""https://www.baghlan.edu.af"")"
Baghyatoolah Medical Sciences University,Iran,"=HYPERLINK(""http://www.bmsu.ac.ir/"", ""http://www.bmsu.ac.ir/"")"
Baha'i Institute for Higher Education,Iran,"=HYPERLINK(""http://www.bihe.org/"", ""http://www.bihe.org/"")"
"Bahauddin Zakariya University, Multan",Pakistan,"=HYPERLINK(""http://www.bzu.edu.pk/"", ""http://www.bzu.edu.pk/"")"
Bahcesehir University,Turkey,"=HYPERLINK(""http://www.bahcesehir.edu.tr/"", ""http://www.bahcesehir.edu.tr/"")"
Bahir Dar University,Ethiopia,"=HYPERLINK(""http://www.bdu.edu.et/"", ""http://www.bdu.edu.et/"")"
Bahrain Polytechnic,Bahrain,"=HYPERLINK(""http://www.polytechnic.bh/"", ""http://www.polytechnic.bh/"")"
Bahria University,Pakistan,"=HYPERLINK(""https://www.bahria.edu.pk/"", ""https://www.bahria.edu.pk/"")"
Baikal National University of Economics and Law,Russia,"=HYPERLINK(""http://www.isea.ru/"", ""http://www.isea.ru/"")"
Baika Women's College,Japan,"=HYPERLINK(""http://www.baika.ac.jp/"", ""http://www.baika.ac.jp/"")"
Baiko Women's College,Japan,"=HYPERLINK(""http://www.baiko.ac.jp/"", ""http://www.baiko.ac.jp/"")"
Baitulmal Management Institute (IPB),Malaysia,"=HYPERLINK(""http://www.ipb.edu.my/"", ""http://www.ipb.edu.my/"")"
Bakhtar University,Afghanistan,"=HYPERLINK(""http://www.bakhtar.edu.af/"", ""http://www.bakhtar.edu.af/"")"
Baki Business University,Azerbaijan,"=HYPERLINK(""http://www.bbu.edu.az/"", ""http://www.bbu.edu.az/"")"
Baku Slavic University,Azerbaijan,"=HYPERLINK(""http://www.bsu-edu.org/"", ""http://www.bsu-edu.org/"")"
Baku State University,Azerbaijan,"=HYPERLINK(""http://www.bsu.az/"", ""http://www.bsu.az/"")"
Balamand University,Lebanon,"=HYPERLINK(""http://www.balamand.edu.lb/"", ""http://www.balamand.edu.lb/"")"
Balikesir University,Turkey,"=HYPERLINK(""http://www.balikesir.edu.tr/"", ""http://www.balikesir.edu.tr/"")"
Balkh University,Afghanistan,"=HYPERLINK(""https://www.ba.edu.af"", ""https://www.ba.edu.af"")"
Ballsbridge University,Dominica,"=HYPERLINK(""http://www.acedu.org/"", ""http://www.acedu.org/"")"
Balochistan University of Engineering and Technology Khuzdar,Pakistan,"=HYPERLINK(""http://www.buetk.edu.pk/"", ""http://www.buetk.edu.pk/"")"
Balochistan University of Information Technology & Management Sciences,Pakistan,"=HYPERLINK(""http://www.buitms.edu.pk/"", ""http://www.buitms.edu.pk/"")"
Balqa Applied University,Jordan,"=HYPERLINK(""http://www.bau.edu.jo/"", ""http://www.bau.edu.jo/"")"
Baltic International Academy,Latvia,"=HYPERLINK(""http://www.bsa.edu.lv/"", ""http://www.bsa.edu.lv/"")"
Baltic State Technical University,Russia,"=HYPERLINK(""http://www.voenmeh.ru/"", ""http://www.voenmeh.ru/"")"
"Balti State University ""Alecu Russo""",Moldova,"=HYPERLINK(""http://www.usarb.md/"", ""http://www.usarb.md/"")"
Bamenda University of Science & Technology,Cameroon,"=HYPERLINK(""http://www.bamendauniversity.com/"", ""http://www.bamendauniversity.com/"")"
Bamiyan University,Afghanistan,"=HYPERLINK(""https://bu.edu.af"", ""https://bu.edu.af"")"
Banaras Hindu University,India,"=HYPERLINK(""http://www.bhu.ac.in/"", ""http://www.bhu.ac.in/"")"
Banasthali University,India,"=HYPERLINK(""http://www.banasthali.org/"", ""http://www.banasthali.org/"")"
Banat's University of Agricultural Sciences,Romania,"=HYPERLINK(""http://www.usab-tm.ro/"", ""http://www.usab-tm.ro/"")"
Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh,"=HYPERLINK(""https://www.bsmrau.edu.bd"", ""https://www.bsmrau.edu.bd"")"
Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh,"=HYPERLINK(""https://bsmrau.edu.bd/"", ""https://bsmrau.edu.bd/"")"
Bangabandhu Sheikh Mujibur Rahman Medical University,Bangladesh,"=HYPERLINK(""http://www.bsmmu.edu.bd/"", ""http://www.bsmmu.edu.bd/"")"
"Bangabandhu Sheikh Mujibur Rahman Science And Technology University, Gopalganj",Bangladesh,"=HYPERLINK(""https://www.bsmrstu.edu.bd/"", ""https://www.bsmrstu.edu.bd/"")"
Bangalore University,India,"=HYPERLINK(""http://bengaluruuniversity.com/"", ""http://bengaluruuniversity.com/"")"
Bangkok University,Thailand,"=HYPERLINK(""http://www.bu.ac.th/"", ""http://www.bu.ac.th/"")"
Bangladesh Agricultural University,Bangladesh,"=HYPERLINK(""http://www.bau.edu.bd/"", ""http://www.bau.edu.bd/"")"
Bangladesh Army University of Science and Technology,Bangladesh,"=HYPERLINK(""http://baust.edu.bd/"", ""http://baust.edu.bd/"")"
Bangladesh Open University,Bangladesh,"=HYPERLINK(""http://www.bou.edu.bd/"", ""http://www.bou.edu.bd/"")"
Bangladesh University,Bangladesh,"=HYPERLINK(""http://www.bu.edu.bd/"", ""http://www.bu.edu.bd/"")"
Bangladesh University of Business & Technology,Bangladesh,"=HYPERLINK(""http://www.bubt.edu.bd/"", ""http://www.bubt.edu.bd/"")"
Bangladesh University of Engineering and Technology,Bangladesh,"=HYPERLINK(""http://www.buet.ac.bd/"", ""http://www.buet.ac.bd/"")"
Bangladesh University of Professionals,Bangladesh,"=HYPERLINK(""http://www.bup.edu.bd/"", ""http://www.bup.edu.bd/"")"
Bangladesh University of Textiles,Bangladesh,"=HYPERLINK(""http://www.butex.edu.bd/"", ""http://www.butex.edu.bd/"")"
Banking Academy of Vietnam,Vietnam,"=HYPERLINK(""https://hvnh.edu.vn/"", ""https://hvnh.edu.vn/"")"
Banking University of Ho Chi Minh City,Vietnam,"=HYPERLINK(""http://buh.edu.vn/"", ""http://buh.edu.vn/"")"
Bankura University,India,"=HYPERLINK(""http://www.bankurauniv.ac.in/"", ""http://www.bankurauniv.ac.in/"")"
Baqai Medical University,Pakistan,"=HYPERLINK(""http://baqai.edu.pk/"", ""http://baqai.edu.pk/"")"
"Barak Valley Engineering College, Karimganj",India,"=HYPERLINK(""https://bvec.ac.in"", ""https://bvec.ac.in"")"
Barcelona Graduate School of Economics,Spain,"=HYPERLINK(""http://www.barcelonagse.eu/"", ""http://www.barcelonagse.eu/"")"
Bar-Ilan University,Israel,"=HYPERLINK(""https://www.aac.ac.il/"", ""https://www.aac.ac.il/"")"
Barkatullah University,India,"=HYPERLINK(""http://www.bubhopal.nic.in/"", ""http://www.bubhopal.nic.in/"")"
Bashkir State Agrarian University,Russia,"=HYPERLINK(""http://www.bashedu.ru/vuz/bgau_e.htm"", ""http://www.bashedu.ru/vuz/bgau_e.htm"")"
Bashkir State Medical University,Russia,"=HYPERLINK(""http://www.bashedu.ru/vuz/bgmu_e.htm"", ""http://www.bashedu.ru/vuz/bgmu_e.htm"")"
Bashkir State Pedagogical University named After M. Akmullah,Russia,"=HYPERLINK(""http://www.bspu.ru/"", ""http://www.bspu.ru/"")"
Bashkir State University,Russia,"=HYPERLINK(""http://www.bashedu.ru/"", ""http://www.bashedu.ru/"")"
Baskent University,Turkey,"=HYPERLINK(""http://www.baskent.edu.tr/"", ""http://www.baskent.edu.tr/"")"
Batangas State University,Philippines,"=HYPERLINK(""http://batstate-u.edu.ph/"", ""http://batstate-u.edu.ph/"")"
Batchelor Institute of Indigenous Tertiary Education,Australia,"=HYPERLINK(""https://www.batchelor.edu.au/"", ""https://www.batchelor.edu.au/"")"
Batterjee Medical College,Saudi Arabia,"=HYPERLINK(""https://bmc.edu.sa"", ""https://bmc.edu.sa"")"
Batterjee Medical College,Saudi Arabia,"=HYPERLINK(""http://www.bmc.edu.sa/"", ""http://www.bmc.edu.sa/"")"
"Bauchi State University, Gadau",Nigeria,"=HYPERLINK(""http://www.basug.edu.ng/"", ""http://www.basug.edu.ng/"")"
Bauhaus Universität Weimar,Germany,"=HYPERLINK(""https://www.uni-weimar.de/"", ""https://www.uni-weimar.de/"")"
Bauman Moscow State Technical University,Russia,"=HYPERLINK(""http://www.bmstu.ru/"", ""http://www.bmstu.ru/"")"
Bayan College for Science & Technology,Sudan,"=HYPERLINK(""http://www.bayantech.edu.sd/"", ""http://www.bayantech.edu.sd/"")"
Bayerische Julius-Maximilians-Universität Würzburg,Germany,"=HYPERLINK(""https://www.uni-wuerzburg.de/"", ""https://www.uni-wuerzburg.de/"")"
Bayero University Kano,Nigeria,"=HYPERLINK(""http://www.buk.edu.ng/"", ""http://www.buk.edu.ng/"")"
Baze University Abuja,Nigeria,"=HYPERLINK(""http://www.bazeuniversity.edu.ng"", ""http://www.bazeuniversity.edu.ng"")"
Beder University,Albania,"=HYPERLINK(""http://www.beder.edu.al/"", ""http://www.beder.edu.al/"")"
"Begum Rokeya University, Rangpur",Bangladesh,"=HYPERLINK(""http://www.brur.ac.bd/"", ""http://www.brur.ac.bd/"")"
Beijing Foreign Studies University,China,"=HYPERLINK(""http://www.bfsu.edu.cn/"", ""http://www.bfsu.edu.cn/"")"
Beijing Forestry University,China,"=HYPERLINK(""http://www.bjfu.edu.cn/"", ""http://www.bjfu.edu.cn/"")"
Beijing Information Science and Technology University,China,"=HYPERLINK(""http://www.bistu.edu.cn/"", ""http://www.bistu.edu.cn/"")"
Beijing Institute of Petrochemical Technology,China,"=HYPERLINK(""https://www.bipt.edu.cn/"", ""https://www.bipt.edu.cn/"")"
Beijing Institute of Technology,China,"=HYPERLINK(""http://www.bit.edu.cn/"", ""http://www.bit.edu.cn/"")"
Beijing International Studies University,China,"=HYPERLINK(""http://www.bisu.edu.cn/"", ""http://www.bisu.edu.cn/"")"
Beijing Language and Culture University,China,"=HYPERLINK(""http://www.blcu.edu.cn/"", ""http://www.blcu.edu.cn/"")"
Beijing Medical University,China,"=HYPERLINK(""http://www.bjmu.edu.cn/"", ""http://www.bjmu.edu.cn/"")"
Beijing New Asia University,China,"=HYPERLINK(""http://www.newasia.bj.edu.cn/"", ""http://www.newasia.bj.edu.cn/"")"
Beijing Normal University,China,"=HYPERLINK(""http://www.bnu.edu.cn/"", ""http://www.bnu.edu.cn/"")"
Beijing Sport University,China,"=HYPERLINK(""http://www.bsu.edu.cn/"", ""http://www.bsu.edu.cn/"")"
Beijing Union University,China,"=HYPERLINK(""http://www.buu.edu.cn/"", ""http://www.buu.edu.cn/"")"
Beijing University of Aeronautics and Astronautics,China,"=HYPERLINK(""http://www.buaa.edu.cn/"", ""http://www.buaa.edu.cn/"")"
Beijing University of Agriculture,China,"=HYPERLINK(""http://www.bac.edu.cn/"", ""http://www.bac.edu.cn/"")"
Beijing University of Chemical Technology,China,"=HYPERLINK(""http://www.buct.edu.cn/"", ""http://www.buct.edu.cn/"")"
Beijing University of Chinese Medicine,China,"=HYPERLINK(""http://www.bucm.edu.cn/"", ""http://www.bucm.edu.cn/"")"
Beijing University of Posts and Telecommunications,China,"=HYPERLINK(""http://www.bupt.edu.cn/"", ""http://www.bupt.edu.cn/"")"
Beijing University of Science and Technology,China,"=HYPERLINK(""http://www.ustb.edu.cn/"", ""http://www.ustb.edu.cn/"")"
Beijing University of Technology,China,"=HYPERLINK(""http://www.bjut.edu.cn/"", ""http://www.bjut.edu.cn/"")"
Beijing Wuzi University,China,"=HYPERLINK(""https://www.bwu.edu.cn"", ""https://www.bwu.edu.cn"")"
Beirut Arab University,Lebanon,"=HYPERLINK(""http://www.bau.edu.lb/"", ""http://www.bau.edu.lb/"")"
Belarusian-Russian University,Belarus,"=HYPERLINK(""http://www.bru.mogilev.by/"", ""http://www.bru.mogilev.by/"")"
Belarussian National Technical University,Belarus,"=HYPERLINK(""http://www.bntu.by/"", ""http://www.bntu.by/"")"
Belarussian State Academy of Music,Belarus,"=HYPERLINK(""http://www.bgam.edu.by/"", ""http://www.bgam.edu.by/"")"
Belarussian State Agrarian Technical University,Belarus,"=HYPERLINK(""http://www.batu.edu.by/"", ""http://www.batu.edu.by/"")"
Belarussian State Agricultural Academy,Belarus,"=HYPERLINK(""http://www.baa.by/"", ""http://www.baa.by/"")"
Belarussian State Economic University,Belarus,"=HYPERLINK(""http://www.bseu.by/"", ""http://www.bseu.by/"")"
Belarussian State Medical University,Belarus,"=HYPERLINK(""http://www.bsmu.by/"", ""http://www.bsmu.by/"")"
Belarussian State Pedagogical University M. Tanka,Belarus,"=HYPERLINK(""http://www.bspu.unibel.by/"", ""http://www.bspu.unibel.by/"")"
Belarussian State Polytechnical Academy,Belarus,"=HYPERLINK(""http://www.bspa.unibel.by/"", ""http://www.bspa.unibel.by/"")"
Belarussian State Technological University,Belarus,"=HYPERLINK(""http://www.bstu.unibel.by/"", ""http://www.bstu.unibel.by/"")"
Belarussian State University,Belarus,"=HYPERLINK(""http://www.bsu.by/"", ""http://www.bsu.by/"")"
Belarussian State University of Culture and Arts,Belarus,"=HYPERLINK(""http://buk.by/"", ""http://buk.by/"")"
Belarussian State University of Informatics and Radioelectronics,Belarus,"=HYPERLINK(""http://www.bsuir.by/"", ""http://www.bsuir.by/"")"
Belarussian State University of Transport,Belarus,"=HYPERLINK(""http://www.belsut.gomel.by/"", ""http://www.belsut.gomel.by/"")"
Belgorod State Agricultural Academy,Russia,"=HYPERLINK(""http://www.bsaa.ru/"", ""http://www.bsaa.ru/"")"
Belgorod State Technical University,Russia,"=HYPERLINK(""http://www.bstu.ru/"", ""http://www.bstu.ru/"")"
Belgorod State University,Russia,"=HYPERLINK(""http://www.bsu.edu.ru/"", ""http://www.bsu.edu.ru/"")"
Bells University of Technology,Nigeria,"=HYPERLINK(""http://www.bellsuniversity.org/"", ""http://www.bellsuniversity.org/"")"
Benadir University,Somalia,"=HYPERLINK(""http://www.benadiruniversity.net/"", ""http://www.benadiruniversity.net/"")"
Benemerita Universidad Autónoma de Puebla,Mexico,"=HYPERLINK(""http://www.buap.mx/"", ""http://www.buap.mx/"")"
Bengal Engineering College,India,"=HYPERLINK(""http://www.becs.ac.in/"", ""http://www.becs.ac.in/"")"
Bengaluru City University,India,"=HYPERLINK(""https://www.bcu.ac.in/"", ""https://www.bcu.ac.in/"")"
Benguet State University,Philippines,"=HYPERLINK(""http://www.bsu.edu.ph/"", ""http://www.bsu.edu.ph/"")"
Ben-Gurion University of the Negev,Israel,"=HYPERLINK(""http://in.bgu.ac.il/"", ""http://in.bgu.ac.il/"")"
Benha University,Egypt,"=HYPERLINK(""http://www.bu.edu.eg/"", ""http://www.bu.edu.eg/"")"
Beni Suef University,Egypt,"=HYPERLINK(""http://www.bsu.edu.eg/"", ""http://www.bsu.edu.eg/"")"
Benson Idahosa University,Nigeria,"=HYPERLINK(""http://www.biu.edu.ng/"", ""http://www.biu.edu.ng/"")"
Benue State University,Nigeria,"=HYPERLINK(""https://www.bsum.edu.ng/"", ""https://www.bsum.edu.ng/"")"
Beppu University,Japan,"=HYPERLINK(""http://www.beppu-u.ac.jp/"", ""http://www.beppu-u.ac.jp/"")"
Bergen University College,Norway,"=HYPERLINK(""http://www.hib.no/"", ""http://www.hib.no/"")"
Bergische Universität Wuppertal,Germany,"=HYPERLINK(""https://www.uni-wuppertal.de/"", ""https://www.uni-wuppertal.de/"")"
Berhampur University,India,"=HYPERLINK(""http://www.bamu.nic.in/"", ""http://www.bamu.nic.in/"")"
Bermuda College,Bermuda,"=HYPERLINK(""https://www.college.bm/"", ""https://www.college.bm/"")"
Bethlehem Bible College,Palestine,"=HYPERLINK(""https://bethbc.edu"", ""https://bethbc.edu"")"
Bethlehem University,Palestine,"=HYPERLINK(""https://www.bethlehem.edu"", ""https://www.bethlehem.edu"")"
Beuth Hochschule für Technik Berlin,Germany,"=HYPERLINK(""https://www.beuth-hochschule.de/"", ""https://www.beuth-hochschule.de/"")"
Beykent University,Turkey,"=HYPERLINK(""http://www.beykent.edu.tr/"", ""http://www.beykent.edu.tr/"")"
Bezalel Academy of Art and Design,Israel,"=HYPERLINK(""http://www.bezalel.ac.il/"", ""http://www.bezalel.ac.il/"")"
"BGC Trust University, Bangladesh",Bangladesh,"=HYPERLINK(""http://www.bgctub-edu.net/"", ""http://www.bgctub-edu.net/"")"
Bhagwant University,India,"=HYPERLINK(""http://bhagwantuniversity.ac.in/"", ""http://bhagwantuniversity.ac.in/"")"
Bharathiar University,India,"=HYPERLINK(""http://www.b-u.ac.in/"", ""http://www.b-u.ac.in/"")"
Bharathidasan University,India,"=HYPERLINK(""http://www.bdu.ac.in/"", ""http://www.bdu.ac.in/"")"
Bharath Institue Of Higher Education & Research,India,"=HYPERLINK(""https://www.bharathuniv.ac.in/"", ""https://www.bharathuniv.ac.in/"")"
Bharati Vidyapeeth University,India,"=HYPERLINK(""http://bharatividyapeeth.edu/"", ""http://bharatividyapeeth.edu/"")"
Bhupendra Narayan Mandal University,India,"=HYPERLINK(""http://www.bnmu.in/"", ""http://www.bnmu.in/"")"
Bicol University,Philippines,"=HYPERLINK(""http://www.bicol-u.edu.ph/"", ""http://www.bicol-u.edu.ph/"")"
Bidhan Chandra Agricultural University,India,"=HYPERLINK(""http://www.bckv.edu.in/"", ""http://www.bckv.edu.in/"")"
Bifrost School of Business,Iceland,"=HYPERLINK(""http://www.bifrost.is/"", ""http://www.bifrost.is/"")"
Biju Pattnaik University of Technology,India,"=HYPERLINK(""http://www.bput.org/"", ""http://www.bput.org/"")"
Bila Cerkva State Agrarian University,Ukraine,"=HYPERLINK(""http://btsau.edu.ua/"", ""http://btsau.edu.ua/"")"
Bilad Al Sham University,Syria,"=HYPERLINK(""http://www.shamkuftaro.org/"", ""http://www.shamkuftaro.org/"")"
Bilecik University,Turkey,"=HYPERLINK(""http://www.bilecik.edu.tr/"", ""http://www.bilecik.edu.tr/"")"
Bilkent University,Turkey,"=HYPERLINK(""http://w3.bilkent.edu.tr/"", ""http://w3.bilkent.edu.tr/"")"
Binary University College of Managemant & Entrepreneurship,Malaysia,"=HYPERLINK(""https://binary.edu.my"", ""https://binary.edu.my"")"
Bindura University of Science Education,Zimbabwe,"=HYPERLINK(""https://www.buse.ac.zw/"", ""https://www.buse.ac.zw/"")"
Bingham University,Nigeria,"=HYPERLINK(""http://www.binghamuni.edu.ng/"", ""http://www.binghamuni.edu.ng/"")"
Bingöl Üniversitesi,Turkey,"=HYPERLINK(""https://www.bingol.edu.tr"", ""https://www.bingol.edu.tr"")"
Binh Duong Economics and Technology University,Vietnam,"=HYPERLINK(""http://www.ktkt.edu.vn/"", ""http://www.ktkt.edu.vn/"")"
Binh Duong University,Vietnam,"=HYPERLINK(""http://www.bdu.edu.vn/"", ""http://www.bdu.edu.vn/"")"
Binod Bihari Mahto Koyalanchal University,India,"=HYPERLINK(""https://bbmku.ac.in/"", ""https://bbmku.ac.in/"")"
Binus University,Indonesia,"=HYPERLINK(""http://www.binus.ac.id/"", ""http://www.binus.ac.id/"")"
Bircham International University,Spain,"=HYPERLINK(""http://www.bircham.edu/"", ""http://www.bircham.edu/"")"
Birjand University,Iran,"=HYPERLINK(""http://www.birjand.ac.ir/"", ""http://www.birjand.ac.ir/"")"
Birjand University of Medical Sciences,Iran,"=HYPERLINK(""http://www.bums.ac.ir/"", ""http://www.bums.ac.ir/"")"
"Birkbeck College, University of London",United Kingdom,"=HYPERLINK(""http://www.bbk.ac.uk/"", ""http://www.bbk.ac.uk/"")"
Birla Institute of Management Technology,India,"=HYPERLINK(""http://www.bimtech.ac.in/"", ""http://www.bimtech.ac.in/"")"
Birla Institute of Technology and Science,India,"=HYPERLINK(""http://www.bits-pilani.ac.in/"", ""http://www.bits-pilani.ac.in/"")"
"Birla Institute of Technology, Ranchi",India,"=HYPERLINK(""https://www.bitmesra.ac.in/"", ""https://www.bitmesra.ac.in/"")"
Birmingham City University,United Kingdom,"=HYPERLINK(""http://www.bcu.ac.uk/"", ""http://www.bcu.ac.uk/"")"
Birsa Agricultural University,India,"=HYPERLINK(""http://www.bauranchi.org/"", ""http://www.bauranchi.org/"")"
Birsk State Pedagogical Institute,Russia,"=HYPERLINK(""http://www.bashedu.ru/vuz/birskgpi_e.htm"", ""http://www.bashedu.ru/vuz/birskgpi_e.htm"")"
Birzeit University,Palestine,"=HYPERLINK(""http://www.birzeit.edu"", ""http://www.birzeit.edu"")"
Bishkek Humanities University,Kyrgyzstan,"=HYPERLINK(""http://www.bhu.kg/"", ""http://www.bhu.kg/"")"
Bishop's University,Canada,"=HYPERLINK(""http://www.ubishops.ca/"", ""http://www.ubishops.ca/"")"
Biysk State Padagogical University after V.M. Shukshin,Russia,"=HYPERLINK(""http://www.bigpi.biysk.ru/wwwsite/"", ""http://www.bigpi.biysk.ru/wwwsite/"")"
Blantyre International University,Malawi,"=HYPERLINK(""http://www.biu.ac.mw/"", ""http://www.biu.ac.mw/"")"
Blekinge Institute of Technology,Sweden,"=HYPERLINK(""http://www.bth.se/"", ""http://www.bth.se/"")"
"Blue Mountains International Hotel Management School, Torrens University",Australia,"=HYPERLINK(""https://www.torrens.edu.au/"", ""https://www.torrens.edu.au/"")"
Bodo Regional University,Norway,"=HYPERLINK(""http://www.hibo.no/"", ""http://www.hibo.no/"")"
Bogazici University,Turkey,"=HYPERLINK(""http://www.boun.edu.tr/"", ""http://www.boun.edu.tr/"")"
Bogor Agricultural University,Indonesia,"=HYPERLINK(""http://www.ipb.ac.id/"", ""http://www.ipb.ac.id/"")"
Bohai University,China,"=HYPERLINK(""http://www.bhu.edu.cn/"", ""http://www.bhu.edu.cn/"")"
Bond University,Australia,"=HYPERLINK(""https://bond.edu.au/"", ""https://bond.edu.au/"")"
Bonga University,Ethiopia,"=HYPERLINK(""https://www.bongau.edu.et/"", ""https://www.bongau.edu.et/"")"
Booth University College,Canada,"=HYPERLINK(""https://www.boothuc.ca/"", ""https://www.boothuc.ca/"")"
Bost University,Afghanistan,"=HYPERLINK(""https://bost.edu.af"", ""https://bost.edu.af"")"
Botho University,Botswana,"=HYPERLINK(""http://www.bothocollege.ac.bw/"", ""http://www.bothocollege.ac.bw/"")"
Botswana Accountancy College,Botswana,"=HYPERLINK(""http://www.bac.ac.bw/"", ""http://www.bac.ac.bw/"")"
Botswana College of Agriculture,Botswana,"=HYPERLINK(""http://www.bca.bw/"", ""http://www.bca.bw/"")"
